"id_admin","nama","username","password"
"1","ronal","ronal","ronal"
"2","Aryo","aryo","aryo"
"id_buku","kd_buku","nama_buku","stok_buku","harga_kolak","harga_jual","gambar"
"16","BUKU-548981","Belajar Masak","11","20000","25000","vbg ki.png"
"18","BUKU-322262","Novel","1","10000","15000","vbg ki.png"
"19","BUKU-843298","Buku Program","5","20000","50000",
"id_dtj","kd_jual","kd_buku","jumlah","total"
"20","PJ-09.12.67127","BUKU-322262","3","45000"
"21","PJ-01.01.130329","BUKU-843298","5","250000"
"24","PJ-02.01.147226","BUKU-548981","2","50000"
"25","PJ-02.01.147226","BUKU-322262","1","15000"
"id_dtk","kd_kolakan","kd_buku","jumlah","total"
"8","KL-08.12.756913","BUKU-548981","15","300000"
"9","KL-09.12.439171","BUKU-322262","5","50000"
"10","KL-01.01.995888","BUKU-843298","10","200000"
"id_kolakan","kd_kolakan","jml_kolakan","total","tanggal"
"4","KL-08.12.756913","15","300000","2024-12-08"
"5","KL-09.12.439171","5","50000","2024-12-09"
"6","KL-01.01.995888","10","200000","2025-01-01"
"id_penjualan","kd_jual","nik","tanggal","jml_jual","total","bayar","kembali"
"14","PJ-09.12.67127","23456789098765","2024-12-09","3","45000.00","50000.00","5000.00"
"15","PJ-01.01.130329","3456789","2025-01-01","5","250000.00","300000.00","50000.00"
"16","PJ-02.01.147226","45678","2025-01-02","3","65000.00","500000.00","435000.00"
"id_pelanggan","nik","no_kk","nama_pelanggan","jenis_kelamin","no_hp"
"20161070","45678","45678","Ronald Budi","Laki-Laki","45678"
"20161073","23456789098765","678909876543","Noval","Laki-Laki","567887654"
"20161074","3456789","34567890","Ambar","Perempuan","2345678"
